,attributes,price,status,adress,lat,lon
108, 304 m² construidos | 6 recs. ,"8,500,000",Casa en venta , Latacunga 899 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4948768,-99.1244783
109, 360 m² construidos | 4 recs. ,"3,000,000",Casa en venta , Avenida 508 20 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.462765,-99.0929339
110, 594 m² construidos | 4 recs. ,"18,500,000",Casa en venta , Cali 700 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4874913,-99.1266348
111, 185 m² construidos | 4 recs. ,"2,495,000",Casa en venta , Brasilia 318 - San Pedro Zacatenco - Gustavo A. Madero - Distrito Federal ,19.5074714,-99.1199017
112, 260 m² construidos | 3 recs. ,"6,430,000",Casa en venta , Callao - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4895261,-99.1254258
113, 200 m² construidos | 3 recs. ,"3,650,000",Casa en venta , Ampliación Progreso Nacional - Gustavo A. Madero - Distrito Federal ,19.5202862,-99.1606755
114, 80 m² construidos | 3 recs. ,"13,500",Casa en venta , Valparaíso 153 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,19.4895388,-99.1200663
115, 200 m² construidos | 4 recs. ,"618,978",Casa en venta , CALLE 623 50 - San Juan de Aragón IV Sección - Gustavo A. Madero - Distrito Federal ,19.4502291,-99.0652816
116, 110 m² construidos | 3 recs. ,"1,400,000",Casa en venta , Calle 641 235 - San Juan de Aragón V Sección - Gustavo A. Madero - Distrito Federal ,19.459416,-99.0650758
117, 709 m² construidos | 5 recs. ,"15,000,000",Casa en venta , Manta 714 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4925374,-99.1349094
118, 350 m² construidos | 4 recs. ,"6,400,000",Casa en venta , Pernambuco - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4913741,-99.1256585
119, 350 m² construidos | 5 recs. ,"2,700,000",Casa en venta , ZORROS 33 - Otros - Gustavo A. Madero - Distrito Federal ,19.5288017,-99.1079185
120, 600 m² construidos | 5 recs. ,"8,300,000",Casa en venta , Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.494112,-99.1276295
121, 349 m² construidos | 4 recs. ,"8,500,000",Casa en venta , Manizales - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4994383,-99.1270283
122, 140 m² construidos | 3 recs. ,"2,160,000",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
123, 687 m² construidos | 6 recs. ,"20,000,000",Casa en venta , MATANZAS 760 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.492911,-99.1308934
124, 328 m² construidos | 4 recs. ,"5,650,000",Casa en venta , Pisco - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4910865,-99.1366524
125, 456 m² construidos | 5 recs. ,"14,900,000",Casa en venta , Quito 1 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4967425,-99.1301253
126, 133 m² construidos | 3 recs. ,"718,330",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
127, 514 m² construidos | 8 recs. ,"10,990,000",Casa en venta , Salaverry 877 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4976536,-99.1299855
128, 294 m² construidos | 5 recs. ,"4,200,000",Casa en venta , Debussy - Guadalupe Victoria - Gustavo A. Madero - Distrito Federal ,19.4702367,-99.139607
129, 116 m² construidos | 5 recs. ,"2,300,000",Casa en venta , VOLCAN CHACAGUA 2 - Pradera II Secc. - Gustavo A. Madero - Distrito Federal ,19.4728978,-99.0641053
130, 80 m² construidos | 2 recs. ,"2,000,000",Casa en venta , Avenida 593 90 - San Juan De Aragón 3a Secc. - Gustavo A. Madero - Distrito Federal ,19.4529595,-99.0729938
131, 309 m² construidos | 4 recs. ,"1,250,000",Casa en venta , MANAGUA 730 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4925757,-99.1320607
132, 562 m² construidos ,"25,000,000",Casa en venta , 5 de mayo villa gustavo a. madero - Villa Gustavo A. Madero - Gustavo A. Madero - Distrito Federal ,19.4862493,-99.1180625
133, 220 m² construidos | 4 recs. ,"1,370,020",Casa en venta , CHICLAYO 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4896721,-99.1310756
134, 320 m² construidos | 7 recs. ,"3,840,000",Casa en venta , CANTERA ALFONSA 507 - Arboledas De Cuautepec El Alto - Gustavo A. Madero - Distrito Federal ,19.5649311,-99.1329788
135, 116 m² construidos | 2 recs. ,"1,800,000",Casa en venta , NORTE 17 5010 - Magdalena De Las Salinas - Gustavo A. Madero - Distrito Federal ,19.4805772,-99.1474936
