id,Price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
00500010741013,2298.5424,2020.0,151.0,3.0,55.0,1.65,13.5,12.67,74.0,32.0,126.0,62.0,58.0,61.0,57.0,,2.6,41.0,47.0,51.0,54.0,1.9867549668874172,36.423841059602644,43.24324324324325,93.54838709677419,98.38709677419355,91.93548387096773,,75.80645161290323,82.25806451612904,87.09677419354837
00500010756011,31836.87363834423,2010.0,22.0,0.0,,1.63,13.83,10.86,12.0,3.0,15.0,4.0,,,,,5.0,,,,,0.0,,25.0,,,,,,,
00500010756011,31836.87363834423,2020.0,145.0,6.0,22.0,0.95,16.16,15.86,90.0,39.0,119.0,198.0,65.0,191.0,58.0,25.0,2.14,39.0,58.0,54.0,58.0,4.137931034482759,15.172413793103447,43.33333333333334,32.82828282828283,96.46464646464645,29.292929292929287,12.626262626262625,29.292929292929287,27.27272727272727,29.292929292929287
00500010794012,10924.36974789916,2010.0,177.0,5.0,19.0,2.02,10.56,10.78,76.0,35.0,131.0,51.0,,,,,3.69,33.0,31.0,22.0,12.0,2.824858757062147,10.734463276836157,46.05263157894736,,,,,60.784313725490186,43.137254901960794,23.529411764705877
00500010794012,10924.36974789916,2020.0,153.0,6.0,33.0,1.77,11.49,11.32,72.0,29.0,127.0,44.0,43.0,44.0,43.0,0.0,3.56,31.0,23.0,25.0,29.0,3.92156862745098,21.568627450980397,40.27777777777778,97.72727272727272,100.0,97.72727272727272,0.0,52.27272727272727,56.81818181818182,65.9090909090909
00500010845009,10174.81111111111,2010.0,16.0,,3.0,1.33,10.91,11.25,6.0,,16.0,4.0,,,,,4.0,,,,,,18.75,,,,,,,,
00500010845009,10174.81111111111,2020.0,4.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,100.0,,,,,,
00500010845011,11900.0,2010.0,327.0,10.0,37.0,2.03,9.27,9.34,133.0,53.0,201.0,88.0,,,,,3.77,46.0,23.0,25.0,15.0,3.058103975535168,11.314984709480123,39.849624060150376,,,,,26.13636363636364,28.40909090909091,17.045454545454547
00500010845011,11900.0,2020.0,330.0,8.0,64.0,1.92,10.6,10.66,165.0,73.0,254.0,99.0,94.0,98.0,93.0,,3.51,59.0,34.0,37.0,59.0,2.4242424242424243,19.393939393939394,44.24242424242424,94.94949494949495,98.989898989899,93.93939393939394,,34.34343434343434,37.373737373737384,59.5959595959596
0050001092A009,54516.12903225807,2010.0,108.0,4.0,18.0,1.45,12.31,11.94,44.0,27.0,73.0,31.0,,,,,3.72,27.0,21.0,21.0,16.0,3.7037037037037033,16.666666666666664,61.36363636363637,,,,,67.74193548387096,67.74193548387096,51.612903225806456
0050001092A009,54516.12903225807,2020.0,90.0,4.0,13.0,1.55,13.71,13.29,48.0,20.0,73.0,32.0,30.0,32.0,30.0,,3.0,29.0,11.0,28.0,29.0,4.4444444444444455,14.444444444444445,41.66666666666667,93.75,100.0,93.75,,34.375,87.5,90.625
00500010934018,3267.807142857143,2010.0,30.0,0.0,9.0,1.5,13.07,11.06,19.0,10.0,23.0,9.0,,,,,3.33,8.0,9.0,8.0,8.0,0.0,30.0,52.631578947368425,,,,,100.0,88.8888888888889,88.8888888888889
00500010934018,3267.807142857143,2020.0,21.0,0.0,11.0,1.33,15.95,15.42,12.0,5.0,21.0,10.0,10.0,10.0,10.0,0.0,2.1,10.0,10.0,10.0,10.0,0.0,52.38095238095239,41.66666666666667,100.0,100.0,100.0,0.0,100.0,100.0,100.0
00500010949007,22644.074624968216,2010.0,149.0,4.0,42.0,1.64,14.14,13.17,40.0,16.0,133.0,54.0,,,,,3.04,42.0,42.0,42.0,36.0,2.684563758389262,28.187919463087248,40.0,,,,,77.7777777777778,77.7777777777778,66.66666666666666
00500010949007,22644.074624968216,2020.0,120.0,,35.0,1.29,13.91,12.9,61.0,26.0,97.0,46.0,43.0,46.0,43.0,,2.79,38.0,39.0,41.0,40.0,,29.16666666666667,42.622950819672134,93.47826086956522,100.0,93.47826086956522,,84.78260869565217,89.13043478260867,86.95652173913044
00500010949013,21156.558533145275,2010.0,99.0,0.0,33.0,1.56,13.38,12.66,45.0,22.0,66.0,35.0,,,,,3.09,30.0,29.0,28.0,24.0,0.0,33.33333333333333,48.88888888888889,,,,,82.85714285714286,80.0,68.57142857142857
00500010949013,21156.558533145275,2020.0,90.0,,36.0,1.43,14.13,13.63,42.0,19.0,67.0,35.0,27.0,35.0,27.0,0.0,3.33,19.0,22.0,21.0,25.0,,40.0,45.23809523809525,77.14285714285717,100.0,77.14285714285717,0.0,62.85714285714285,60.0,71.42857142857143
00500010953003,12648.56553911205,2010.0,61.0,0.0,14.0,1.36,13.63,12.31,28.0,11.0,31.0,21.0,,,,,3.21,15.0,14.0,12.0,9.0,0.0,22.950819672131143,39.285714285714285,,,,,66.66666666666666,57.14285714285714,42.857142857142854
00500010953003,12648.56553911205,2020.0,60.0,,16.0,1.43,14.55,13.85,33.0,15.0,41.0,30.0,22.0,30.0,22.0,0.0,2.73,18.0,15.0,18.0,17.0,,26.66666666666667,45.45454545454545,73.33333333333333,100.0,73.33333333333333,0.0,50.0,60.0,56.66666666666666
00500010953016,12401.443691397519,2010.0,192.0,9.0,40.0,1.79,13.41,12.59,85.0,31.0,144.0,61.0,,,,,3.37,46.0,56.0,50.0,48.0,4.6875,20.833333333333336,36.470588235294116,,,,,91.80327868852459,81.96721311475409,78.68852459016394
00500010953016,12401.443691397519,2020.0,101.0,,25.0,1.7,15.74,15.17,82.0,35.0,96.0,54.0,49.0,54.0,49.0,,2.06,48.0,48.0,48.0,48.0,,24.752475247524753,42.68292682926829,90.74074074074076,100.0,90.74074074074076,,88.8888888888889,88.8888888888889,88.8888888888889
00500010953019,5378.358419669425,2010.0,92.0,3.0,27.0,1.15,13.61,13.06,36.0,16.0,55.0,28.0,,,,,3.12,22.0,22.0,21.0,21.0,3.260869565217391,29.347826086956523,44.444444444444436,,,,,78.57142857142857,75.0,75.0
00500010953019,5378.358419669425,2020.0,89.0,0.0,39.0,1.23,13.26,12.77,53.0,27.0,65.0,30.0,27.0,29.0,26.0,0.0,3.23,23.0,19.0,20.0,21.0,0.0,43.820224719101134,50.9433962264151,90.0,96.66666666666669,86.66666666666669,0.0,63.33333333333333,66.66666666666666,70.0
00500010953020,31250.0,2010.0,114.0,,22.0,1.72,13.28,12.65,48.0,19.0,63.0,35.0,,,,,3.36,31.0,32.0,28.0,28.0,,19.298245614035086,39.58333333333333,,,,,91.42857142857143,80.0,80.0
00500010953020,31250.0,2020.0,58.0,,16.0,1.58,14.56,13.46,53.0,22.0,51.0,38.0,34.0,38.0,34.0,0.0,1.71,33.0,32.0,34.0,34.0,,27.58620689655172,41.509433962264154,89.47368421052632,100.0,89.47368421052632,0.0,84.21052631578947,89.47368421052632,89.47368421052632
00500010953021,22625.698324022345,2010.0,57.0,0.0,22.0,1.96,13.45,13.0,27.0,10.0,29.0,18.0,,,,,3.56,13.0,14.0,11.0,10.0,0.0,38.59649122807017,37.03703703703704,,,,,77.7777777777778,61.111111111111114,55.555555555555564
00500010953021,22625.698324022345,2020.0,26.0,,6.0,1.58,14.76,14.58,21.0,8.0,21.0,19.0,17.0,19.0,17.0,0.0,1.53,17.0,15.0,17.0,17.0,,23.07692307692308,38.095238095238095,89.47368421052632,100.0,89.47368421052632,0.0,78.94736842105263,89.47368421052632,89.47368421052632
