,tiempo,nom_ent,mun,loc,ageb,mza,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
10,2010,Distrito Federal,5,1,0012,10,182,10.0,7.0,2.01,8.42,8.62,67.0,22.0,133.0,44,,,,,4.14,24.0,16.0,12.0,9.0,5.4945054945054945,3.8461538461538463,32.83582089552239,,,,,,,
11,2010,Distrito Federal,5,1,0012,11,117,3.0,20.0,2.85,8.16,7.43,42.0,14.0,90.0,35,,,,,3.44,19.0,6.0,11.0,7.0,2.564102564102564,17.094017094017094,33.33333333333333,,,,,,,
12,2010,Distrito Federal,5,1,0012,12,104,4.0,13.0,2.12,8.14,7.78,40.0,12.0,87.0,26,,,,,4.0,15.0,10.0,5.0,5.0,3.8461538461538463,12.5,30.0,,,,,,,
13,2010,Distrito Federal,5,1,0012,13,199,9.0,14.0,2.18,8.34,8.26,68.0,26.0,166.0,55,,,,,3.63,26.0,18.0,14.0,6.0,4.522613065326634,7.035175879396985,38.23529411764706,,,,,,,
14,2010,Distrito Federal,5,1,0012,15,140,6.0,10.0,1.76,10.07,9.66,67.0,22.0,113.0,34,,,,,4.38,24.0,14.0,19.0,13.0,4.285714285714286,7.142857142857142,32.83582089552239,,,,,,,
15,2010,Distrito Federal,5,1,0012,16,143,10.0,7.0,2.4,7.37,7.14,58.0,17.0,99.0,36,,,,,4.09,18.0,3.0,3.0,,6.993006993006993,4.895104895104895,29.310344827586203,,,,,,,
16,2010,Distrito Federal,5,1,0012,17,147,5.0,15.0,2.4,8.0,8.11,54.0,21.0,128.0,36,,,,,4.08,18.0,11.0,9.0,6.0,3.4013605442176873,10.204081632653061,38.88888888888889,,,,,,,
17,2010,Distrito Federal,5,1,0012,18,83,5.0,9.0,2.3,9.43,9.33,33.0,14.0,68.0,21,,,,,4.15,18.0,6.0,9.0,7.0,6.024096385542169,10.843373493975903,42.42424242424242,,,,,,,
18,2010,Distrito Federal,5,1,0012,19,173,8.0,17.0,2.07,8.63,8.38,74.0,25.0,146.0,39,,,,,4.59,20.0,8.0,6.0,5.0,4.624277456647398,9.826589595375722,33.78378378378378,,,,,,,
19,2010,Distrito Federal,5,1,0012,20,192,14.0,22.0,2.58,8.13,7.49,63.0,13.0,137.0,52,,,,,3.76,19.0,7.0,12.0,6.0,7.291666666666667,11.458333333333332,20.634920634920633,,,,,,,
20,2010,Distrito Federal,5,1,0012,21,172,6.0,14.0,2.46,8.62,8.32,72.0,25.0,74.0,42,,,,,4.12,27.0,12.0,11.0,7.0,3.488372093023256,8.13953488372093,34.72222222222222,,,,,,,
21,2010,Distrito Federal,5,1,0012,22,160,9.0,13.0,1.77,9.42,9.41,66.0,25.0,118.0,45,,,,,3.9,25.0,13.0,18.0,13.0,5.625,8.125,37.878787878787875,,,,,,,
