,Unnamed: 0,m2,State,Rooms,Price,Status,Adress,long,lat
211,211,190,construidos , 3 recs. ,"7,450,000",Casa en venta ," AMORES , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1664334,19.383798
212,212,96,construidos , 2 recs. ,"4,890,000",Casa en venta ," Rochester , Nápoles , Benito Juárez , Distrito Federal ",-99.17942090000001,19.3926751
213,213,500,construidos , 4 recs. ,"17,000,000",Casa en venta ," Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1497664,19.3928098
214,214,490,construidos , 7 recs. ,"16,500,000",Casa en venta ," PALENQUE 413 , Narvarte , Benito Juárez , Distrito Federal ",-99.1533438,19.3834028
215,215,264,construidos , 3 recs. ,"11,425,000",Casa en venta ," SÁNCHEZ AZCONA 1539 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1650095,19.3741252
216,216,392,construidos , 2 recs. ,"11,900,000",Casa en venta ," Los Juárez , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.1871257,19.3707256
217,217,488,construidos , 3 recs. ,"12,798,745",Casa en venta ," Av. tres , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1830828,19.3908354
218,218,325,construidos , 5 recs. ,"6,700,000",Casa en venta ," RUBEN M CAMPOS 2811 , Villa De Cortes , Benito Juárez , Distrito Federal ",-99.13481589999999,19.3871908
219,219,345,construidos , 3 recs. ,"9,000,000",Casa en venta ," Ixcateopan 201 , Letran Valle , Benito Juárez , Distrito Federal ",-99.1585552,19.3752716
220,220,170,construidos , 3 recs. ,"7,800,000",Casa en venta ," Amores 1 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1623341,19.4010592
221,221,245,construidos , 3 recs. ,"13,209,000",Casa en venta ," SAN Lorenzo , Benito Juárez , Distrito Federal ",-99.1696822,19.3737604
222,222,403,construidos , 3 recs. ,"18,500,000",Casa en venta ," Insurgentes Mixcoac , Benito Juárez , Distrito Federal ",-99.18367549999999,19.3726839
223,223,318,construidos , 5 recs. ,"12,800,000",Casa en venta ," Providencia , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1707716,19.38382
224,224,236,construidos , 4 recs. ,"7,500,000",Casa en venta ," La Quemada 0001 , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1492018,19.3924729
225,225,230,construidos , 3 recs. ,"12,500,000",Casa en venta ," Agustin González de Cosío , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1711712,19.3849758
226,226,323,construidos , 4 recs. ,"7,600,000",Casa en venta ," Alhambra , Portales Sur , Benito Juárez , Distrito Federal ",-99.14468199999999,19.3625877
227,227,240,construidos , 4 recs. ,"6,000,000",Casa en venta ," LUIS BRAILE 250 , Independencia , Benito Juárez , Distrito Federal ",-99.15180009999999,19.3789835
228,228,188,construidos , 3 recs. ,"7,450,000",Casa en venta ," Av. Amores , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1670899,19.3811123
229,229,81,construidos , 2 recs. ,"4,100,000",Casa en venta ," Eje 8 Sur , Xoco , Benito Juárez , Distrito Federal ",-99.1652161,19.3655328
230,230,160,construidos , 3 recs. ,"4,000,000",Casa en venta ," Callejón Santísima 12 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal ",-99.1617551,19.3671142
231,231,133,construidos , 3 recs. ,"7,698,978",Casa en venta ," Uxmal , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1549215,19.3905618
232,232,540,construidos , 6 recs. ,"35,000,000",Casa en venta ," ADOLFO PRIETO , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.17265850000001,19.372304
233,233,148,construidos , 2 recs. ,"6,500,000",Casa en venta ," Av Primero de Mayo , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.187032,19.3911511
234,234,174,construidos , 2 recs. ,"6,200,000",Casa en venta ," Aragón , Alamos , Benito Juárez , Distrito Federal ",-99.1384607,19.397194
235,235,360,construidos , 3 recs. ,"12,500,000",Casa en venta ," Pilares , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16778479999999,19.3782765
236,236,317,construidos , 3 recs. ,"9,800,000",Casa en venta ," IXCATEOPAN 1 , Letran Valle , Benito Juárez , Distrito Federal ",-99.1569086,19.3823244
237,237,403,construidos , 4 recs. ,"18,500,000",Casa en venta ," Malaga 0 , Mixcoac , Benito Juárez , Distrito Federal ",-99.18149149999999,19.3730818
238,238,368,construidos , 5 recs. ,"10,000,000",Casa en venta ," San Pedro de los Pinos , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.185752,19.3880449
239,239,192,construidos , 2 recs. ,"8,600,000",Casa en venta ," Miguel Serrano 13 , 4 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1633797,19.3812147
240,240,296,construidos , 5 cuartos ,"11,990,000",Casa en venta ," EMPRESA 1 , Insurgentes Mixcoac , Benito Juárez , Distrito Federal ",-99.1801369,19.3737133
241,241,306,cubiertos ,,"11,800,000",Casa en venta ," Mitla 0001 , Narvarte , Benito Juárez , Distrito Federal ",-99.1502215,19.3880682
242,242,400,cubiertos , 5 cuartos ,"19,700,000",Casa en venta ," PETEN , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.15243459999999,19.3955931
243,243,370,cubiertos , 3 cuartos ,"16,500,000",Casa en venta ," CERRADA PERPETUA , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.1826796,19.364608
244,244,238,construidos , 3 cuartos ,"10,400,000",Casa en venta ," Fragonard 48 , San Juan , Benito Juárez , Distrito Federal ",-99.1842162,19.3773285
245,245,900,cubiertos , 5 cuartos ,"11,000,000",Casa en venta ," Canarias 103 , Portales , Benito Juárez , Distrito Federal ",-99.14632859999999,19.3717783
246,246,166,cubiertos , 3 recs. ,"6,000,000",Casa en venta ," Calle Gabriel Mancera 46 , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1611075,19.3996373
247,247,184,construidos , 3 recs. ,"7,550,000",Casa en venta ," Adolfo Prieto , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1696422,19.3837406
248,248,662,construidos ,,"34,000,000",Casa en venta ," Adolfo Prieto , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1696422,19.3837406
249,249,233,construidos , 3 recs. ,"7,300,000",Casa en venta ," Adolfo Prieto , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1696422,19.3837406
250,250,240,construidos , 3 cuartos ,"8,300,000",Casa en venta ," Aragón 269 , Alamos , Benito Juárez , Distrito Federal ",-99.13924879999999,19.3933499
251,251,450,cubiertos , 6 cuartos ,"12,600,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
252,252,320,cubiertos , 4 cuartos ,"9,000,000",Casa en venta ," Centenario 3 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal ",-99.1618357,19.3700104
